value,   feasible,   frequency, time, iteration
57762.0,False,2.0,0.9187262058258057,0
8652.0,False,3.0,0.9187262058258057,0
0.0,False,5.0,0.9187262058258057,0
30874.0,False,1.0,0.9187262058258057,0
24734.0,False,1.0,0.9187262058258057,0
13030.0,False,3.0,0.9187262058258057,0
20990.0,False,2.0,0.9187262058258057,0
17850.0,False,2.0,0.9187262058258057,0
16892.0,False,1.0,0.9187262058258057,0
15698.0,False,2.0,0.9187262058258057,0
23498.0,False,3.0,0.9187262058258057,0
22176.0,False,1.0,0.9187262058258057,0
10168.0,False,7.0,0.9187262058258057,0
31130.0,False,2.0,0.9187262058258057,0
0.0,False,3.0,0.9187262058258057,0
1722.0,False,7.0,0.9187262058258057,0
9512.0,False,1.0,0.9187262058258057,0
48652.0,False,3.0,0.9187262058258057,0
18430.0,False,4.0,0.9187262058258057,0
10904.0,False,2.0,0.9187262058258057,0
50224.0,False,4.0,0.9187262058258057,0
10640.0,False,6.0,0.9187262058258057,0
39140.0,False,4.0,0.9187262058258057,0
3444.0,False,6.0,0.9187262058258057,0
16892.0,False,3.0,0.9187262058258057,0
54420.0,False,5.0,0.9187262058258057,0
40790.0,False,2.0,0.9187262058258057,0
23316.0,False,2.0,0.9187262058258057,0
14384.0,False,1.0,0.9187262058258057,0
14514.0,False,2.0,0.9187262058258057,0
0.0,False,1.0,0.9187262058258057,0
29908.0,False,3.0,0.9187262058258057,0
10168.0,False,1.0,0.9187262058258057,0
21280.0,False,4.0,0.9187262058258057,0
13448.0,False,3.0,0.9187262058258057,0
30136.0,False,1.0,0.9187262058258057,0
14398.0,False,2.0,0.9187262058258057,0
52412.0,False,1.0,0.9187262058258057,0
4578.0,False,1.0,0.9187262058258057,0
18366.0,False,2.0,0.9187262058258057,0
19570.0,False,9.0,0.9187262058258057,0
12190.0,False,6.0,0.9187262058258057,0
53150.0,False,1.0,0.9187262058258057,0
24026.0,False,8.0,0.9187262058258057,0
19572.0,False,3.0,0.9187262058258057,0
21342.0,False,1.0,0.9187262058258057,0
42264.0,False,2.0,0.9187262058258057,0
27530.0,False,1.0,0.9187262058258057,0
2352.0,False,1.0,0.9187262058258057,0
984.0,False,5.0,0.9187262058258057,0
38000.0,False,1.0,0.9187262058258057,0
10468.0,False,3.0,0.9187262058258057,0
18430.0,False,6.0,0.9187262058258057,0
2604.0,False,3.0,0.9187262058258057,0
38916.0,False,3.0,0.9187262058258057,0
30210.0,False,3.0,0.9187262058258057,0
48470.0,False,1.0,0.9187262058258057,0
0.0,False,4.0,0.9187262058258057,0
40788.0,False,2.0,0.9187262058258057,0
8446.0,False,2.0,0.9187262058258057,0
54034.0,False,1.0,0.9187262058258057,0
35480.0,False,3.0,0.9187262058258057,0
27486.0,False,6.0,0.9187262058258057,0
7790.0,False,2.0,0.9187262058258057,0
19982.0,False,3.0,0.9187262058258057,0
0.0,False,2.0,0.9187262058258057,0
0.0,False,3.0,0.9187262058258057,0
47764.0,False,4.0,0.9187262058258057,0
9512.0,False,1.0,0.9187262058258057,0
19728.0,False,5.0,0.9187262058258057,0
71894.0,False,1.0,0.9187262058258057,0
33380.0,False,4.0,0.9187262058258057,0
20006.0,False,5.0,0.9187262058258057,0
11536.0,False,5.0,0.9187262058258057,0
44124.0,False,1.0,0.9187262058258057,0
21766.0,False,1.0,0.9187262058258057,0
19824.0,False,3.0,0.9187262058258057,0
252.0,False,1.0,0.9187262058258057,0
31358.0,False,4.0,0.9187262058258057,0
12518.0,False,2.0,0.9187262058258057,0
68804.0,False,3.0,0.9187262058258057,0
0.0,False,2.0,0.9187262058258057,0
7708.0,False,4.0,0.9187262058258057,0
1974.0,False,1.0,0.9187262058258057,0
29480.0,False,1.0,0.9187262058258057,0
26560.0,False,4.0,0.9187262058258057,0
26656.0,False,1.0,0.9187262058258057,0
10640.0,False,1.0,0.9187262058258057,0
